"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
16,540,Unknown/Missing,48.4%,42.9%,14.5%,76,57,18,,,,,,,,,,
17,013,Hispanic,31.8%,35.1%,28.8%,201,200,131,,,,,,,,,,
17,013,Non-Hispanic,20.5%,34.1%,62.4%,130,194,284,,,,,,,,,,
17,013,Unknown/Missing,47.7%,30.8%,8.8%,302,175,40,,,,,,,,,,
17,610,Hispanic,16.7%,32.9%,41.2%,8,24,14,,,,,,,,,,
17,610,Non-Hispanic,14.6%,19.2%,47.1%,7,14,16,,,,,,,,,,
17,610,Unknown/Missing,68.8%,47.9%,11.8%,33,35,4,,,,,,,,,,
18,510,Hispanic,52.0%,43.4%,48.1%,305,209,199,,,,,,,,,,
18,510,Non-Hispanic,17.2%,26.1%,42.0%,101,126,174,,,,,,,,,,
18,510,Unknown/Missing,30.7%,30.5%,9.9%,180,147,41,,,,,,,,,,
19,059,Hispanic,35.2%,35.8%,41.7%,882,853,937,,,,,,,,,,
19,059,Non-Hispanic,15.4%,19.8%,45.2%,385,472,"1,016",,,,,,,,,,
19,059,Unknown/Missing,49.4%,44.4%,13.0%,"1,239","1,060",293,,,,,,,,,,
20L,107,Hispanic,33.4%,32.6%,31.8%,380,302,290,,,,,,,,,,
20L,107,Non-Hispanic,10.4%,18.8%,62.3%,118,174,569,,,,,,,,,,
20L,107,Unknown/Missing,56.2%,48.6%,5.9%,639,450,54,,,,,,,,,,
20W,061,Hispanic,6.7%,12.5%,7.1%,11,19,11,,,,,,,,,,
20W,061,Non-Hispanic,18.8%,23.0%,29.9%,31,35,46,,,,,,,,,,
20W,061,Unknown/Missing,74.5%,64.5%,63.0%,123,98,97,,,,,,,,,,
20W,157,Hispanic,4.3%,0.0%,0.0%,1,0,0,,,,,,,,,,
20W,157,Non-Hispanic,43.5%,3.4%,28.0%,10,1,7,,,,,,,,,,
20W,157,Unknown/Missing,52.2%,96.6%,72.0%,12,28,18,,,,,,,,,,
21,089,Hispanic,8.7%,5.3%,9.5%,20,13,14,,,,,,,,,,
21,089,Non-Hispanic,43.7%,49.6%,78.2%,101,121,115,,,,,,,,,,
21,089,Unknown/Missing,47.6%,45.1%,12.2%,110,110,18,,,,,,,,,,
21,141,Hispanic,3.1%,5.2%,0.0%,3,3,0,,,,,,,,,,
21,141,Non-Hispanic,43.3%,58.6%,78.6%,42,34,22,,,,,,,,,,
21,141,Unknown/Missing,53.6%,36.2%,21.4%,52,21,6,,,,,,,,,,
21,690,Hispanic,6.0%,7.1%,6.7%,14,11,6,,,,,,,,,,
21,690,Non-Hispanic,35.3%,46.8%,80.9%,83,72,72,,,,,,,,,,
21,690,Unknown/Missing,58.7%,46.1%,12.4%,138,71,11,,,,,,,,,,
22,067,Hispanic,4.8%,4.9%,2.7%,26,22,10,,,,,,,,,,
22,067,Non-Hispanic,29.3%,33.8%,84.8%,160,153,317,,,,,,,,,,
22,067,Unknown/Missing,65.9%,61.4%,12.6%,360,278,47,,,,,,,,,,
