"Juvenile Intake Cases by Race, FY 2018-2020*",,,,,,,,,,,,,,,,,,,,,
CSU,FIPS,RACE,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,,,,
16,113,White,73.5%,69.8%,64.3%,36,30,27,,,,,,,,,,,,,
16,113,Other/Unknown,10.2%,14.0%,9.5%,5,6,4,,,,,,,,,,,,,
16,137,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
16,137,Black,24.5%,27.1%,29.1%,35,38,34,,,,,,,,,,,,,
16,137,White,62.2%,57.1%,59.8%,89,80,70,,,,,,,,,,,,,
16,137,Other/Unknown,13.3%,15.7%,11.1%,19,22,13,,,,,,,,,,,,,
16,540,Asian,3.8%,0.8%,0.0%,6,1,0,,,,,,,,,,,,,
16,540,Black,52.9%,64.7%,77.4%,83,86,96,,,,,,,,,,,,,
16,540,White,21.0%,12.0%,16.9%,33,16,21,,,,,,,,,,,,,
16,540,Other/Unknown,22.3%,22.6%,5.6%,35,30,7,,,,,,,,,,,,,
17,013,Asian,3.3%,2.5%,3.3%,21,14,15,,,,,,,,,,,,,
17,013,Black,42.7%,43.1%,49.5%,270,245,225,,,,,,,,,,,,,
17,013,White,49.6%,52.7%,43.7%,314,300,199,,,,,,,,,,,,,
17,013,Other/Unknown,4.4%,1.8%,3.5%,28,10,16,,,,,,,,,,,,,
17,610,Asian,6.3%,6.8%,5.9%,3,5,2,,,,,,,,,,,,,
17,610,Black,16.7%,6.8%,2.9%,8,5,1,,,,,,,,,,,,,
17,610,White,72.9%,75.3%,85.3%,35,55,29,,,,,,,,,,,,,
17,610,Other/Unknown,4.2%,11.0%,5.9%,2,8,2,,,,,,,,,,,,,
18,510,Asian,0.2%,0.6%,1.0%,1,3,4,,,,,,,,,,,,,
18,510,Black,32.6%,41.7%,39.9%,191,201,165,,,,,,,,,,,,,
18,510,White,61.4%,52.1%,53.4%,360,251,221,,,,,,,,,,,,,
18,510,Other/Unknown,5.8%,5.6%,5.8%,34,27,24,,,,,,,,,,,,,
19,059,Asian,3.4%,4.7%,4.9%,86,111,109,,,,,,,,,,,,,
19,059,Black,30.4%,28.4%,30.1%,761,678,676,,,,,,,,,,,,,
19,059,White,56.9%,56.4%,57.6%,"1,426","1,344","1,293",,,,,,,,,,,,,
19,059,Other/Unknown,9.3%,10.6%,7.5%,233,252,168,,,,,,,,,,,,,
20L,107,Asian,3.4%,5.4%,5.7%,39,50,52,,,,,,,,,,,,,
20L,107,Black,16.7%,15.1%,15.1%,190,140,138,,,,,,,,,,,,,
20L,107,White,70.9%,73.1%,73.6%,806,677,672,,,,,,,,,,,,,
20L,107,Other/Unknown,9.0%,6.4%,5.6%,102,59,51,,,,,,,,,,,,,
20W,061,Asian,0.6%,0.7%,1.3%,1,1,2,,,,,,,,,,,,,
20W,061,Black,23.0%,15.1%,23.4%,38,23,36,,,,,,,,,,,,,
20W,061,White,66.7%,67.8%,67.5%,110,103,104,,,,,,,,,,,,,
20W,061,Other/Unknown,9.7%,16.4%,7.8%,16,25,12,,,,,,,,,,,,,
20W,157,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
20W,157,Black,13.0%,13.8%,16.0%,3,4,4,,,,,,,,,,,,,
20W,157,White,82.6%,65.5%,84.0%,19,19,21,,,,,,,,,,,,,
20W,157,Other/Unknown,4.3%,20.7%,0.0%,1,6,0,,,,,,,,,,,,,
21,089,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
21,089,Black,19.5%,25.0%,38.8%,45,61,57,,,,,,,,,,,,,
21,089,White,66.2%,59.0%,57.8%,153,144,85,,,,,,,,,,,,,
21,089,Other/Unknown,14.3%,16.0%,3.4%,33,39,5,,,,,,,,,,,,,
21,141,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
21,141,Black,12.4%,17.2%,14.3%,12,10,4,,,,,,,,,,,,,
21,141,White,75.3%,77.6%,78.6%,73,45,22,,,,,,,,,,,,,
21,141,Other/Unknown,12.4%,5.2%,7.1%,12,3,2,,,,,,,,,,,,,
21,690,Asian,0.4%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
21,690,Black,63.0%,63.6%,68.5%,148,98,61,,,,,,,,,,,,,
21,690,White,18.7%,24.0%,24.7%,44,37,22,,,,,,,,,,,,,
21,690,Other/Unknown,17.9%,12.3%,6.7%,42,19,6,,,,,,,,,,,,,
22,067,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
22,067,Black,9.9%,12.6%,16.0%,54,57,60,,,,,,,,,,,,,
22,067,White,75.1%,74.6%,75.7%,410,338,283,,,,,,,,,,,,,
22,067,Other/Unknown,15.0%,12.8%,8.3%,82,58,31,,,,,,,,,,,,,
22,143,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
22,143,Black,26.0%,25.8%,20.2%,64,48,58,,,,,,,,,,,,,
22,143,White,67.5%,69.4%,76.3%,166,129,219,,,,,,,,,,,,,
22,143,Other/Unknown,6.5%,4.8%,3.5%,16,9,10,,,,,,,,,,,,,
22,590,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
22,590,Black,75.6%,73.5%,72.3%,343,263,235,,,,,,,,,,,,,
